"i","ID","N","Cases","Controls","Risk","Case_density","Area"
1,1,510,136,374,0.266666666666667,23.5552975942289,5.77364813396882
1,2,153,40,113,0.261437908496732,15.4937173664694,2.5816916014336
1,3,181,45,136,0.248618784530387,25.8453460576238,1.74112584523611
1,4,0,0,0,NA,0,0.0183853600212034
2,1,238,61,177,0.256302521008403,21.7576925387931,2.80360612189181
2,2,105,28,77,0.266666666666667,24.1603672849383,1.15892277918537
2,3,112,34,78,0.303571428571429,24.7441212973575,1.37406374594643
2,4,166,42,124,0.253012048192771,25.8409008700686,1.6253303323743
2,5,3,2,1,0.666666666666667,10.9550983866004,0.182563399197425
3,1,33,11,22,0.333333333333333,21.9454448451008,0.501242972181341
3,2,0,0,0,NA,0,0.0145147579049969
3,3,0,0,0,NA,0,0.00451570247403971
3,4,3,2,1,0.666666666666667,11.5898797815136,0.172564343867492
3,5,0,0,0,NA,0,0.0070961038815239
3,6,333,85,248,0.255255255255255,37.1580501698066,2.28752584195249
3,7,0,0,0,NA,0,0.00903140492991236
3,8,49,20,29,0.408163265306122,18.4981673316508,1.08118818699297
4,1,68,25,43,0.367647058823529,27.820287551268,0.898624787897298
4,2,146,39,107,0.267123287671233,30.6259931473557,1.2734280913717
4,3,10,5,5,0.5,9.12387534871905,0.548012747752191
4,4,0,0,0,NA,0,0.00322550176686093
4,5,0,0,0,NA,0,0.000645100354997988
4,6,0,0,0,NA,0,0.000967650525733649
4,7,544,148,396,0.272058823529412,31.1143514661291,4.75664743200938
5,1,492,130,362,0.264227642276423,22.5905537733211,5.75461767358385
5,2,2,1,1,0.5,5.89409285812717,0.169661392188814
5,3,204,52,152,0.254901960784314,20.5867996348354,2.52589042116142
6,1,46,15,31,0.326086956521739,14.8434065340237,1.01054969865693
6,2,409,117,292,0.286063569682152,24.0046497837782,4.87405569562052
6,3,259,71,188,0.274131274131274,37.0075305968466,1.91852844150725
6,4,0,0,0,NA,0,0.000967650531042703
6,5,34,12,22,0.352941176470588,26.348097827889,0.455440847319847
6,6,110,33,77,0.3,29.9764617274346,1.10086374769835
6,7,29,13,16,0.448275862068966,30.4869946849309,0.426411331597261
7,1,466,125,341,0.268240343347639,22.7200917880796,5.50173833653184
7,2,26,15,11,0.576923076923077,20.751625461576,0.722834942630118
7,3,0,0,0,NA,0,0.000322550179101401
7,4,138,33,105,0.239130434782609,36.5000584628532,0.904108140911192
8,1,80,21,59,0.2625,17.1693432863673,1.22311026401775
8,2,419,112,307,0.267303102625298,19.9846215046261,5.60430929222623
8,3,277,76,201,0.274368231046931,27.497054058017,2.76393245035068
9,1,373,102,271,0.273458445040214,17.6172629634038,5.78977564289548
9,2,377,115,262,0.305039787798409,15.078607620685,7.62669888977295
9,3,0,0,0,NA,0,0.00322550176686093
9,4,0,0,0,NA,0,0.000645100354997988
9,5,0,0,0,NA,0,0.000645100354674046
9,6,0,0,0,NA,0,0.000645100355320546
9,7,0,0,0,NA,0,0.00225785123877662
9,8,0,0,0,NA,0,0.00548335300074104
10,1,527,138,389,0.261859582542694,23.1954682909867,5.94943797938428
10,2,201,58,143,0.288557213930348,13.3079473812581,4.35829796574661
10,3,0,0,0,NA,0,0.0222559621351078
10,4,0,0,0,NA,0,0.000645100355298396
10,5,1,1,0,1,6.13919374836679,0.162887838531897
11,1,275,78,197,0.283636363636364,25.698495420652,3.03519714766325
11,2,295,104,191,0.352542372881356,24.4025169068039,4.2618554634011
11,3,0,0,0,NA,0,0.000967650531042703
11,4,41,15,26,0.365853658536585,35.1773015627232,0.426411331558622
11,5,3,3,0,1,19.8312975023841,0.151276032223274
11,6,8,6,2,0.75,31.3160893281936,0.191594804099573
12,1,43,14,29,0.325581395348837,13.6705826226702,1.02409680599739
12,2,425,120,305,0.282352941176471,24.2383960791135,4.95082263728686
12,3,313,90,223,0.287539936102236,15.3471402048936,5.86428473308027
12,4,0,0,0,NA,0,0.000967650531042703
12,5,25,8,17,0.32,16.5791061154676,0.482535062160941
12,6,0,0,0,NA,0,0.000322550179425343
12,7,0,0,0,NA,0,0.000645100355620954
12,8,101,34,67,0.336633663366337,12.7723199713938,2.66200659521136
