"ID","N","Cases","Controls","Risk","Case_density","Area"
1,2,1,1,0.5,10.2067254061196,0.0979746157764207
2,12052,4097,7955,0.339943577829406,264.87537154251,15.4676517342514
3,0,0,0,NA,0,0.00290295159240132
4,0,0,0,NA,0,0.000725737903318361
5,0,0,0,NA,0,0.000725737904045154
6,0,0,0,NA,0,0.000725737902591567
7,5545,1689,3856,0.304598737601443,341.094312695262,4.95170965078205
8,642,189,453,0.294392523364486,353.83777021204,0.534143090170222
9,0,0,0,NA,0,0.00145147579937017
10,0,0,0,NA,0,0.000725737903318361
